tract,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
17031010100,60626,0.100776357,0.079365079,0.113911684,0.102037722
17031010201,60626,0.036380002,0.041771094,0.043767097,0.037722118
17031010201,60645,0.116429709,0.088452088,0.202192097,0.128633656
17031010202,60626,0.046806436,0.090225564,0.055881204,0.04979077
17031010300,60626,0.12429209,0.082706767,0.118796405,0.121929771
17031010400,60660,0,0.005703422,0.000392773,0.000244918
17031010400,60626,0.092375202,0.059314954,0.076787808,0.08875614
17031010501,60626,0.099013614,0.060150376,0.098671356,0.097549882
17031010502,60626,0.075310355,0.035087719,0.073466198,0.073564194
17031010503,60626,0.049506807,0.060985798,0.022860492,0.045788101
17031010503,60660,0.001240844,0.016159696,0.006677141,0.002274238
17031010600,60660,0.000480327,0.010456274,0,0.00080473
17031010600,60626,0.121591719,0.097744361,0.135013677,0.122809145
17031010701,60626,0.040693095,0.008354219,0.036342321,0.038844078
17031010701,60645,0.028929022,0.014742015,0.036919527,0.02964708
17031010702,60626,0.083861531,0.182121972,0.100820633,0.09006004
17031020100,60645,0.094252621,0.156019656,0.119411595,0.100364477
17031020200,60645,0.122083768,0.230958231,0.063455437,0.116988177
17031020301,60645,0.122028874,0.081081081,0.013267955,0.103787003
17031020302,60645,0.104353077,0.125307125,0.113066051,0.106453907
17031020400,60645,0.098808805,0.07985258,0.105278339,0.099119922
17031020500,60645,0.104462864,0.062653563,0.144216902,0.109076362
17031020500,60626,0.019277651,0.003341688,0.005861665,0.016617139
17031020500,60660,0.001601089,0.001901141,0.002356638,0.001679437
17031020500,60659,0.007168231,0.034790366,0.008325008,0.010281308
17031020601,60645,0.12065653,0.093366093,0.134121719,0.121744155
17031020601,60659,0.00234712,0.045049063,0.004995005,0.007282593
17031020602,60659,0.003425527,0.033006244,0.003996004,0.006663811
17031020602,60645,0.081736839,0.066339066,0.057975195,0.077518002
17031020701,60659,0.04313626,0.125334523,0.021978022,0.048883812
17031020702,60645,0.005763847,0,0.009806749,0.006178327
17031020702,60659,0.163917787,0.076271186,0.212787213,0.161549812
17031020801,60659,0.123572697,0.083407672,0.075258075,0.112380408
17031020802,60659,0.164552144,0.137823372,0.244089244,0.173068685
17031020802,60645,0.000494044,0.001228501,0.000288434,0.000488932
17031020901,60659,0.137021061,0.061998216,0.228105228,0.142034366
17031020902,60659,0.037363613,0.004460303,0.057276057,0.036698558
17031020902,60660,0.048272826,0.034220532,0.085231736,0.051047899
17031030101,60660,0.104511068,0.05418251,0.05538099,0.098282076
17031030102,60660,0.097986631,0.05608365,0.045168892,0.091739267
17031030103,60660,0.058359685,0.044676806,0.026708562,0.055036563
17031030104,60660,0.041067926,0.042775665,0.025530244,0.039746685
17031030200,60626,0.000412557,0,0.000390778,0.000394202
17031030200,60660,0.108753953,0.16634981,0.166142969,0.115986145
17031030300,60626,0.025466002,0.059314954,0.000390778,0.022803081
17031030300,60660,0.102789897,0.185361217,0.095443833,0.105174766
17031030400,60660,0.062042189,0.086501901,0.08837392,0.065288128
17031030500,60660,0.122363207,0.158745247,0.264728987,0.136384311
17031030601,60660,0.083736941,0.019961977,0.049882168,0.078373745
17031030603,60660,0.067085618,0.036121673,0.053809898,0.064763304
17031030604,60660,0.088780371,0.024714829,0.019245876,0.080228124
17031030701,60660,0.001080735,0.014258555,0.003534957,0.001784402
17031030701,60640,0.026238839,0.011272142,0.017256406,0.024332051
17031030702,60640,0.043313665,0.010466989,0.001568764,0.036412097
17031030703,60640,0.046838285,0.027777778,0.044448318,0.045525869
17031030706,60640,0.053522009,0.026167472,0.018999477,0.047804312
17031030706,60660,0.00360245,0.00095057,0.000392773,0.003218922
17031030800,60660,0.003642477,0.017110266,0.00392773,0.004163605
17031030800,60640,0.051903295,0.081723027,0.062576259,0.054811599
17031030900,60660,0.002081415,0.006653992,0.005498822,0.002554144
17031030900,60640,0.038196439,0.069645733,0.046191389,0.040861509
17031031000,60640,0.052764869,0.069243156,0.078263901,0.056789115
17031031100,60640,0.091274607,0.126409018,0.106153042,0.094985276
17031031200,60640,0.080779072,0.107085346,0.068851316,0.080712766
17031031300,60640,0.115555323,0.017310789,0.051071989,0.102357973
17031031400,60613,0.118360425,0.029222387,0.044272512,0.104524839
17031031400,60640,0,0.010064412,0.000697229,0.000623348
17031031501,60640,0.063599812,0.019323671,0.029632212,0.057047052
17031031502,60640,0.055036291,0.02294686,0.052989367,0.053070524
17031031502,60613,0.005919621,0.007429421,0.004083387,0.005774707
17031031700,60640,0.099994778,0.066827697,0.140665853,0.103239258
17031031700,60613,0.001983873,0,0.003868472,0.002109482
17031031800,60640,0.027518145,0.042673108,0.033466969,0.029060895
17031031900,60640,0.033627487,0.046296296,0.059613038,0.037508329
17031031900,60613,0.001951875,0.009905894,0.002793896,0.002478641
17031032100,60613,0.142614873,0.088162457,0.136686009,0.138988503
17031040100,60660,0,0.00095057,0.000392773,0.000069977
17031040100,60625,0.041010428,0.03057554,0.039032258,0.040147849
17031040100,60640,0.013602423,0.011674718,0.014118877,0.013563184
17031040100,60659,0,0.00044603,0,0.000047599
17031040201,60625,0.140279519,0.217176259,0.109516129,0.139800112
17031040202,60625,0.092693966,0.053956835,0.103064516,0.092162537
17031040202,60659,0.012369957,0.000892061,0.00999001,0.010804893
17031040300,60625,0.033303771,0.022032374,0.027258065,0.031782701
17031040300,60659,0.001712763,0,0,0.001285164
17031040401,60625,0.040123551,0.04631295,0.030967742,0.039077888
17031040402,60640,0.046446661,0.023349436,0.07164023,0.048320186
17031040402,60625,0.028563565,0.027877698,0.026774194,0.028256693
17031040600,60625,0.039083764,0.089928058,0.036290323,0.041412348
17031040700,60625,0.047157405,0.066546763,0.048225806,0.048367094
17031040800,60625,0.021162727,0.010341727,0.018064516,0.020110401
17031040800,60618,0.000967653,0.003852327,0.001671542,0.001247986
17031040900,60625,0.032325148,0.023830935,0.030645161,0.03161248
17031040900,60618,0.002045894,0.005457464,0.002716256,0.002359828
17031050100,60618,0.005087089,0.004815409,0.006686168,0.005241542
17031050100,60613,0.031645975,0.128281327,0.038899635,0.037680624
17031050200,60618,0.063063312,0.076083467,0.062264939,0.063896894
17031050300,60618,0.029831352,0.025361156,0.022147931,0.028680992
17031050500,60618,0.056483273,0.034991974,0.039281237,0.05309614
17031050600,60618,0.003207078,0.002568218,0.003343084,0.003176692
17031050600,60657,0,0.000359583,0,0.000018734
17031050600,60613,0.032893895,0.072808321,0.0298732,0.034648244
17031050700,60618,0.001327067,0.000963082,0.001044714,0.001270677
17031050700,60657,0.012498044,0.005753326,0.005110733,0.011334258
17031050700,60613,0.002751824,0.001981179,0.003438642,0.002795064
17031050800,60618,0.0159248,0.016051364,0.014625992,0.015792698
17031050900,60618,0.017555986,0.010914928,0.011700794,0.016450727
17031051000,60618,0.019546586,0.027608347,0.023610531,0.020557736
17031051100,60618,0.018938347,0.021508828,0.027162557,0.020013161
17031051200,60657,0.014219599,0.010787487,0.01669506,0.014313013
17031051200,60618,0.000884711,0.001284109,0.002925198,0.001134533
17031051300,60618,0.004782969,0.000642055,0.005014626,0.004515441
17031051300,60614,0.002970131,0.000374813,0.003139101,0.002847679
17031051300,60657,0.018981823,0.010427904,0.017717206,0.018397092
17031051400,60618,0.03771081,0.019903692,0.047638947,0.037530349
17031051400,60647,0.000901467,0.000345423,0.0016592,0.000966417
17031060100,60613,0.042109305,0.023278851,0.052654202,0.042400591
17031060200,60613,0.037437604,0.133234274,0.052009456,0.044325493
17031060300,60613,0.041341354,0.091134225,0.040618956,0.043903597
17031060400,60613,0.05343658,0.052005944,0.07908876,0.056507752
17031060500,60613,0.035901702,0.083704804,0.019127445,0.036388567
17031060800,60613,0.113016767,0.024764735,0.175155813,0.115942411
17031060900,60613,0.128919749,0.058444775,0.071781646,0.118157367
17031060900,60657,0.028886355,0.002876663,0.016013629,0.026115628
17031061000,60613,0.041789325,0.038137692,0.058241994,0.043613543
17031061100,60613,0.023134519,0.030212977,0.038254889,0.025366523
17031061200,60613,0.029118136,0.026250619,0.031592521,0.029269064
17031061500,60613,0.005567644,0.000990589,0.008596604,0.005695602
17031061500,60657,0.014800903,0.011866235,0.019250426,0.015137322
17031061800,60657,0.015807007,0.010787487,0.019591141,0.015961632
17031061800,60613,0.001951875,0.001485884,0.003008812,0.002056745
17031061901,60657,0.058376372,0.025170802,0.042078365,0.05485406
17031061902,60657,0.079996423,0.012585401,0.016524702,0.06950429
17031062000,60657,0.039528696,0.029845379,0.076320273,0.043070179
17031062100,60657,0.048963713,0.075512406,0.097955707,0.055734572
17031062200,60657,0.035593713,0.027687882,0.06132879,0.038011915
17031062300,60657,0.016969616,0.050341604,0.022657581,0.019333808
17031062400,60657,0.017819214,0.018338727,0.022316865,0.01834089
17031062500,60657,0.017841572,0.049622438,0.01669506,0.019371277
17031062600,60614,0.002107835,0.002623688,0.002746714,0.002201398
17031062600,60657,0.06445771,0.158935635,0.017376491,0.06420248
17031062700,60657,0.027746104,0.092772384,0.040204429,0.032504028
17031062700,60614,0.002012024,0.000749625,0.000980969,0.001837864
17031062800,60657,0.03803072,0.046026609,0.055025554,0.040316235
17031062800,60614,0.00205993,0.000749625,0.003139101,0.002100416
