CensusTract,State,County,Urban,POP2010,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LAPOP1_10,LALOWI1_10,LALOWI05_10,LALOWI1_20,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031251100,Illinois,Cook,1,4302,1498,17,0.0039517,1,33.5,37700,6.363291324,3.622074344,2665.433666,3.622074344,695.9971351,0.46461758,2564,1195,577,82,4038,9,0,20,153,215,545,650
17031251600,Illinois,Cook,1,3649,1109,20,0.005481,1,36.4,33848,2025.392412,1366.693809,2259.010699,1366.693809,482.6942445,0.435251798,2400,1084,430,53,3501,1,0,11,83,135,274,484
17031430102,Illinois,Cook,1,2963,1814,10,0.003375,1,24.9,49250,1.479308546,0.694732368,1601.608634,0.694732368,593.999997,0.327453141,1821,499,468,49,2827,9,0,10,68,50,988,594
17031430700,Illinois,Cook,1,2210,1090,263,0.1190045,1,38.1,27404,1050.040356,591.072638,1326.282804,591.072638,287.562812,0.263819094,1326,397,383,93,2029,11,0,7,70,71,433,315
17031431302,Illinois,Cook,1,4166,1737,5,0.0012002,1,37.3,27353,20.53961754,14.57164478,2719.763774,14.57164478,802.0743454,0.461758403,2191,1180,367,54,4048,0,0,2,62,60,727,646
17031431400,Illinois,Cook,1,6418,3280,507,0.0789966,1,35,34052,2312.327534,928.0284442,3504.551348,928.0284442,1004.506494,0.30625198,2824,1105,927,164,6050,32,0,33,139,97,1118,965
17031460100,Illinois,Cook,1,3405,1278,3,0.0008811,1,27.8,41623,2.800569341,1.41708196,378.8518123,1.41708196,119.8636027,0.093789986,2095,947,336,358,2560,13,0,7,467,673,474,424
17031490600,Illinois,Cook,1,1562,574,4,0.0025608,1,17.8,42366,604.973937,245.8227433,634.6969648,245.8227433,125.5949355,0.218806508,590,367,323,2,1519,2,0,5,34,22,59,121
17031490901,Illinois,Cook,1,3891,1535,95,0.0244153,1,30,45055,59.7406106,41.89909232,2181.125157,41.89909232,581.515349,0.378837361,2334,966,552,21,3806,2,0,5,57,34,532,580
17031491000,Illinois,Cook,1,5247,1545,4,0.0007623,1,50.2,26542,174.0043392,132.2961428,3736.119575,132.2961428,778.8727368,0.504124749,4431,1670,629,19,5134,0,0,26,68,51,545,773
